alpha,t,c_out,mu,nu,xi,Q,p_end,k_alpha,s,f_A,f_B
0.497,0.8299095517903355,78.64270842626627,4.6290643351309925e-07,7.000708848290186e-07,2.3716445131591935e-07,8.123116898895688,0.7,0.828,0.7,8.0,2.0
0.498,0.8323129943120868,78.80905997388066,4.4221375967944273e-07,6.686907023393654e-07,2.264769426599227e-07,8.172781448284262,0.7,0.828,0.7,8.0,2.0
0.499,0.8347212293445317,78.97586449104732,4.221129217763384e-07,6.382133405752353e-07,2.1610041879889693e-07,8.223516303934005,0.7,0.828,0.7,8.0,2.0
0.5,0.8371342760385813,79.14312396896186,4.0259737270436646e-07,6.086285628440075e-07,2.0603119013964103e-07,8.275363113221179,0.7,0.828,0.7,8.0,2.0
0.501,0.8395521536601671,79.31084041101508,3.836604842061346e-07,5.799260145351775e-07,1.962655303290429e-07,8.328365886428116,0.7,0.828,0.7,8.0,2.0
0.502,0.8419748815911645,79.47901583340263,3.6529554594899386e-07,5.520952218181429e-07,1.8679967586914902e-07,8.382571174316574,0.7,0.828,0.7,8.0,2.0
0.503,0.8444024793303241,79.6476522645804,3.474957647307418e-07,5.251255905275971e-07,1.7762982579685528e-07,8.438028261999303,0.7,0.828,0.7,8.0,2.0
0.504,0.8468349664942145,79.81675174574394,3.302542635573082e-07,4.990064048560817e-07,1.6875214129877357e-07,8.494789381725232,0.7,0.828,0.7,8.0,2.0
0.505,0.8492723628181724,79.98631633084358,3.1356408076429497e-07,4.737268261142392e-07,1.6016274534994423e-07,8.552909946236417,0.7,0.828,0.7,8.0,2.0
0.506,0.8517146881572639,80.15634808668506,2.974181691184447e-07,4.4927589146188043e-07,1.5185772234343574e-07,8.612448805320941,0.7,0.828,0.7,8.0,2.0
0.507,0.8541619624872548,80.32684909304314,2.8180939490768917e-07,4.2564251262300295e-07,1.4383311771531378e-07,8.673468528320273,0.7,0.828,0.7,8.0,2.0
0.508,0.8566142059055906,80.49782144275763,2.6673053702257464e-07,4.028154745890082e-07,1.3608493756643354e-07,8.73603571575698,0.7,0.828,0.7,8.0,2.0
0.509,0.8590714386323871,80.66926724184881,2.521742860253847e-07,3.807834343045686e-07,1.2860914827918393e-07,8.800221343731842,0.7,0.828,0.7,8.0,2.0
0.51,0.8615336810114309,80.84118860961924,2.3813324320994727e-07,3.5953491934068083e-07,1.2140167613073356e-07,8.866101145249445,0.7,0.828,0.7,8.0,2.0
0.511,0.8640009535111897,81.01358767876296,2.24599919649971e-07,3.3905832655166243e-07,1.1445840690169142e-07,8.933756033279554,0.7,0.828,0.7,8.0,2.0
0.512,0.8664732767258333,81.18646659548197,2.1156673523598385e-07,3.1934192071621964e-07,1.0777518548023579e-07,9.00327257109014,0.7,0.828,0.7,8.0,2.0
0.513,0.8689506713762648,81.35982751958852,1.990260177023501e-07,3.003738331648383e-07,1.013478154624882e-07,9.074743496248054,0.7,0.828,0.7,8.0,2.0
0.514,0.8714331583111634,81.53367262468015,1.8697000163796546e-07,2.821420603838377e-07,9.517205874587225e-08,9.148268305755366,0.7,0.828,0.7,8.0,2.0
0.515,0.8739207585080362,81.70800409795285,1.7539082751047308e-07,2.6463446264123093e-07,8.924363513075785e-08,9.22395391077723,0.7,0.828,0.7,8.0,2.0
0.516,0.8764134930742818,81.88282414092649,1.642805406165354e-07,2.478387625021539e-07,8.35582218856185e-08,9.301915371626222,0.7,0.828,0.7,8.0,2.0
0.517,0.8789113832482661,82.05813496894211,1.536310901045929e-07,2.3174254345530419e-07,7.81114533507113e-08,9.382276723879558,0.7,0.828,0.7,8.0,2.0
0.518,0.8814144504004068,82.23393881161175,1.4343432792084e-07,2.163332484246957e-07,7.289892050385572e-08,9.46517191050796,0.7,0.828,0.7,8.0,2.0
0.519,0.8839227160342705,82.41023791255436,1.3368200778772806e-07,2.0159817833201435e-07,6.791617054428629e-08,9.550745835662592,0.7,0.828,0.7,8.0,2.0
0.52,0.8864362017876817,82.58703453076656,1.2436578407954807e-07,1.8752449050491468e-07,6.315870642536661e-08,9.639155560715814,0.7,0.828,0.7,8.0,2.0
0.521,0.8889549294338429,82.76433093848715,1.1547721087799533e-07,1.7409919735870583e-07,5.86219864807105e-08,9.730571663066085,0.7,0.828,0.7,8.0,2.0
0.522,0.891478920882465,82.94212942344333,1.0700774077566371e-07,1.6130916469868626e-07,5.430142392302255e-08,9.825179789310528,0.7,0.828,0.7,8.0,2.0
0.523,0.8940081981809129,83.12043228795932,9.89487238383097e-08,1.4914111026385685e-07,5.019238642554716e-08,9.923182432069435,0.7,0.828,0.7,8.0,2.0
0.524,0.8965427835153589,83.2992418492588,9.129140648905265e-08,1.3758160215422e-07,4.6290195665167356e-08,10.02480097255453,0.7,0.828,0.7,8.0,2.0
0.525,0.8990826992119516,83.47856043945572,8.402693039464056e-08,1.2661705726273887e-07,4.2590126868098306e-08,10.130278036408102,0.7,0.828,0.7,8.0,2.0
0.526,0.9016279677379959,83.65839040648648,7.714633130158409e-08,1.1623373963318753e-07,3.908740833160344e-08,10.239880222362583,0.7,0.828,0.7,8.0,2.0
0.527,0.9041786117031451,83.8387341126383,7.064053795438051e-08,1.0641775894346302e-07,3.577722098908251e-08,10.353901273609766,0.7,0.828,0.7,8.0,2.0
0.528,0.9067346538606059,84.01959393606545,6.450037088038369e-08,9.715506878922464e-08,3.265469790884095e-08,10.472665783741599,0.7,0.828,0.7,8.0,2.0
0.529,0.9092961171083568,84.20097227064934,5.871654123044336e-08,8.843146505333212e-08,2.971492382288876e-08,10.59653354411575,0.7,0.828,0.7,8.0,2.0
0.53,0.9118630244903778,84.38287152574308,5.327964960543862e-08,8.023258425561287e-08,2.6952934650174247e-08,10.725904670170172,0.7,0.828,0.7,8.0,2.0
0.531,0.9144353991978958,84.56529412652642,4.818018484756227e-08,7.25439018511049e-08,2.4363717003542634e-08,10.861225678707136,0.7,0.828,0.7,8.0,2.0
0.532,0.9170132645706406,84.74824251421552,4.3408522823761116e-08,6.535073051814784e-08,2.1942207694386726e-08,11.002996732423204,0.7,0.828,0.7,8.0,2.0
0.533,0.9195966440981157,84.9317191460681,3.8954925200378256e-08,5.863821843489558e-08,1.9683293234517326e-08,11.151780327729695,0.7,0.828,0.7,8.0,2.0
0.534,0.9221855614208833,85.11572649557374,3.4809538197738e-08,5.2391347527298164e-08,1.7581809329560165e-08,11.308211780813972,0.7,0.828,0.7,8.0,2.0
0.535,0.9247800403318609,85.30026705259918,3.096239133141313e-08,4.6594931698740946e-08,1.563254036732782e-08,11.473011971378966,0.7,0.828,0.7,8.0,2.0
0.536,0.9273801047776351,85.48534332352595,2.740339613870323e-08,4.123361503914667e-08,1.3830218900443439e-08,11.6470029453959,0.7,0.828,0.7,8.0,2.0
0.537,0.9299857788597864,85.67095783138186,2.4122344889983605e-08,3.629187001305161e-08,1.2169525123068004e-08,11.831127171707413,0.7,0.828,0.7,8.0,2.0
0.538,0.9325970868362299,85.85711311606767,2.1108909283077188e-08,3.175399562389931e-08,1.0645086340822124e-08,12.026471514966037,0.7,0.828,0.7,8.0,2.0
0.539,0.9352140531225708,86.04381173412486,1.8352639129203633e-08,2.760411556745794e-08,9.251476438254308e-09,12.23429736145761,0.7,0.828,0.7,8.0,2.0
0.54,0.9378367022934739,86.23105625963586,1.5842961005512466e-08,2.3826176336753844e-08,7.983215331241378e-09,12.456078869286484,0.7,0.828,0.7,8.0,2.0
0.541,0.9404650590840483,86.41884928362305,1.3569176914922261e-08,2.0403945339864526e-08,6.834768424942265e-09,12.693552078498632,0.7,0.828,0.7,8.0,2.0
0.542,0.9430991483912465,86.6071934145691,1.1520462912258393e-08,1.7321008968850935e-08,5.800546056592542e-09,12.948778751286817,0.7,0.828,0.7,8.0,2.0
0.543,0.9457389952752808,86.7960912784894,9.685867720855219e-09,1.4560770656243631e-08,4.874902935388412e-09,13.224230496713831,0.7,0.828,0.7,8.0,2.0
0.544,0.948384624961052,86.98554551911185,8.054311330995833e-09,1.2106448906121267e-08,4.0521375751254346e-09,13.522901316772248,0.7,0.828,0.7,8.0,2.0
0.545,0.9510360628395975,87.17555879798519,6.614583582090211e-09,9.941075302669875e-09,3.3264917205796637e-09,13.848460743005957,0.7,0.828,0.7,8.0,2.0
0.546,0.9536933344695522,87.36613379466922,5.355342726901971e-09,8.047492493709133e-09,2.692149766807162e-09,14.205466203153593,0.7,0.828,0.7,8.0,2.0
